Sentence,Word,Meaning,Source
كشفت دراسة جديدة أن عناق الأب مهم جدا بالنسبة لرفاهية الطفل أكثر من عناقه لوالدته.,اب,والد الشخص.,aljazeera
"ظل شهر فبراير/ شباط على هذا الحال حتى العام 33 قبل الميلاد، حين قرر الملك أوكتافيوس تغيير اسم الشهر الثامن ليحمل اسمه، وحينها غيّر الترتيب الذي أرساه يوليوس ليصبح شهر أغسطس/ آب 31 يوما آخذا يوما من شهر فبراير/شباط، وأعقبه بتغيير في ترتيب الأشهر التي تليه، بحسب موقع ""هيستوري"".",اب,اسم الشهر الثامن من السنة السريانيّة,aljazeera
ذلك أسهم في صقل وطنية الأب يوليو، وعزز انتماءه لفلسطين، فضلا عن لقائه شخصيات مناضلة كالرئيس الراحل ياسر عرفات (أبو عمار),اب,لقب كنسي لرجل الدين المسيحي.,aljazeera
يعاني المراهق المصاب بالاكتئاب من ألم نفسي من الصعب التغلب عليه بمفرده ما يجعله يلجأ إلى أي وسيلة للتخفيف من هذا الألم حتى لو كانت خطيرة، مثل تعاطي المخدرات لينسى أو يتناسى مشاكله.,الم,الحزن والاسى,Altibbi
"تؤثر معظم مشاكل الكتف على منطقة صغيرة، ويفترض بها أن تستمر لفترة قصيرة نسبيا، وترتبط بحدوث ألم في الكتف. لكن في بعض الأحيان، قد تكون آلام الكتف جزءا من مشكلة أكبر وطويلة الأمد، مثل الفصال العظمي أو ألم العضلات الروماتيزمي، وذلك وفقا لموقع ""فيرسَس أرثرايتس"" (Versus Arthritis).",الم,الوجع الشديد,aljazeera
بعد تخرّجه من المدرسة الثانوية، ألمّ جيداً اللغة الإنجليزية والفرنسية ليستطيع دراسة الهندسة في باريس.,الم,أحاط به بدون تعمق او عرفه,gpt
أَلَمْ تَسْمَعْ بِٱلْهَنْدَسَةِ ٱلصِّنَاعِيَّةِ مِنْ قَبْلُ؟,الم,أداة استفهام للنفي، مركبة من همزة الاستفهام ولم النافية.,wikipedia
"هاشم لـ ""الجديد"": الرئيس المكلف استمهل الثنائي الشيعي وأجّل لقاءه مع الرئيس عون كي يستكمل اتصالاته ومشاوراته الخاصة",أجل,أَخَّرَه إلى وقت لاحق,aljadeed
"ما أعظمها من بشارة، وما أجلّها من عبارة، وما أروعها من إشارة، اسمع يقول ﷺ ؛ كلمتان خفيفتان على اللسان، ثقيلتان في الميزان، حبيبتان إلى الرحمن؛ ""سُبْحانَ اللَّهِ وَبِحَمْدِهِ، سُبْحانَ اللَّهِ الْعظيمِاجعلها معك ليلاً ونهاراً تجد الأمن والسعادة، والأجر والرحمة.",أجل,أعظم، أكرم,twitter
لكل فرد أهدافه الاستثمارية، فقد يكون هدفك ضمان مكاسب جيدة قبل التقاعد، أو دفع تكاليف التعليم الجامعي للأطفال في وقت لاحق، أو شراء منزل. ومهما كان الهدف، فإن مفتاح الاستثمار الناجح طويل الأجل هو تحديد الأفق الزمني المناسب، وعادة ما تستمر مدة هذا النوع من الاستثمار 5 أعوام أو حتى أكثر، لذلك يجب أن تحدد المدة التي تحتاج فيها إلى استخدام الأموال لتختار الاستثمارات المناسبة وتقدر حجم المخاطرة التي يمكنك أن تتحملها,أجل,مُدَّةُ الشيءالوقت الذي يُحَدَّدُ لانتهاء الشيء أَو حُلُولِهِ,aljazeera
عن عائشة رضي الله عنها قالت: قال لي رسول الله صلى الله عليه وسلم : «إنِّي لأعلمُ إذا كنتِ عنِّي راضيةً، وإذا كنتِ عليَّ غَضْبَى». قالت: فقلتُ: مِن أين تَعْرف ذلك؟ فقال: «أمَّا إذا كنتِ عني راضيةً، فإنكِ تقولين: لا وربِّ محمد، وإذا كنتِ علي غَضبى، قلتِ: لا وربِّ إبراهيم». قالت: قلتُ: أجل والله يا رسول الله، ما أهْجُرُ إلَّا اسمَك.,أجل,"حرف جواب مثل ""نعم""",hadeeth enc
لا تتسرع بالحكم، فما قام به كان من أجل خدمة البشرية، ومعرفة التأثيرات النفسية والجسدية على شخص يخوض تجربة العزلة لفترة طويلة، ونتائج مهمة من أجل السفر إلى الفضاء.,أجل,سَبَب حدوث الشيء,arabic post
سمية البناية بجبل أحد، فنسبة إلى الجبل الشهير في غزوة أحد، التي خاضها المسلمون ضد قريش، وهُزموا فيها بسبب تخلي الرماة عن الأماكن التي أمرهم الرسول بالبقاء فيها على جبل أحد.,أحد,جبل يقع شمال المدينة المنورة، وقعت عنده إحدى الغزوات وبه سميت.,arabic post
نشر الجيش السوداني، فجر الإثنين 1 مايو/ أيار 2023، مقطع لقطات لاجتماع قادة عسكريين برئاسة عبد الفتاح البرهان من أحد مراكز القيادة، دون أن يكشف عن تفاصيل الاجتماع أو مكان انعقاده بالتحديد، بينما تتواصل المواجهات مع قوات الدعم السريع.,أحد,شخصٌ أو شيءٌ ما.,arabic post
صحيفة The Independent البريطانية، قالت الأحد 16 أبريل/نيسان 2023، إن شركة الألماس V D Global، التي تعمل من سورات ومومباي ولها فروع منتشرة على مستوى العالم، عثرت على ألماسة يبلغ وزنها 0.329 قيراط بحالتها الطبيعية في أكتوبر/تشرين الأول من العام الماضي.,أحد,ثاني أيام الأسبوع، يأتي بعد السبت ويليه الإثنين.,arabic post
"بعد أحد عشر ربيعاً، تحولت سوريا لمأساة لا مثيل لها بعد الحرب العالمية الثانية؛ دولةٌ مقسمة، ومستباحة، ومدمّرة في إنسانها وبنيانها واقتصادها، ومصنّفة في أدنى درجات السلم العالمي على مستوى الأمن الغذائي والفوضى الأمنية وانخفاض مستوى التعليم والصحة والحريات، وتلك هي الترجمة الحقيقية لنظام فاشي احتل البلد، وفَضَّل بيع السوريين وقتلهم وتقسيم بلدهم، وتسليمه للمحتل الإيراني والروسي على إحداث تغيير طالب به الثائرون، ولعل الخبير في الشأن السوري والمبعوث الأممي والأمريكي للملف السوري جيمس جيفري وضح ذلك في مقابلته مع صحيفة الشرق الأوسط بالقول: ""بشار الأسد ببساطة، يحاول البقاء على قيد الحياة، إنه لا يقبل المقترحات التي من شأنها أن تجعل الناس يعودون إلى بلاده وتجعل الأموال تتدفق إلى سورية. كل ما يريده هو البقاء في السلطة، فهو يفضل أن يكون مدير الحطام والدمار"".",أحد,اسم عدد بمعنى واحد، ويأتي مركبا مع العشرة.,arabic post
التوحيد في الإسلام هو نفي وجود أيّ آلهة أُخرى مع الله، ونفي الشَّبه بين الله وبين خلقه، فالله في الإسلام واحدٌ أحدٌ فردٌ صمدٌ، لا شريك ولا نِدَّ له، منفردٌ في التصرّف في مُلكه، لا يُسأل عمّا يفعل، لا يخرج عن مشيئته وإرادته شيء.,أحد,فردٌ في جميع جهات الوحدانية، أي: في ذاته وصفاته لا يتجزأ.,wikipedia
يمكن أن يتسبب السير مشياً على الأقدام أثناء الحج بحدوث الشد العضلي عند الحجاج. تعرف من خلال هذا المقال على كل ما يخص إجهاد العضلات خلال أداء مراسم الحج.,أداء, تأدية، طريقة القيام بعمل ما,Altibbi
"لم تُصنع هذه السُمعة بالأصوات الجميلة فقط وإنما بإجادة الأداء وسلاسة الانتقال بين المقامات، وقواعد صارمة للاعتراف بجدارة حامل لقب ""قارئ قرآن بالإذاعة المصرية"".",أداء,تلاوة القرآن كما يتلوه القراء من إعطاء الأصوات حقها من الوضوح والضغط والنبر,aljazeera
قام موقع Stuff بالبحث في الارشيف واختار أسوأ أداء تمثيلي لخمسة من لاعبي كرة القدم على الشاشة الكبيرة.,أداء,تمثيل,arabic post
وأظهر الفيديو الذي تم تداوله على مواقع التواصل في تركيا، الرئيس أردوغان وهو يرفع الأذان في أذن الطفلة، التي نجت هي ووالدتها من الزلزال المدمر، الذي أودى بحياة أكثر من 30 ألف شخص.,أذن,عضو السمع في الإنسان والحيوان، وهي مؤنثة,arabic post
حيث ذكر الموقع في تقرير له، الأربعاء 8 مارس/ آذار 2023، أن رئيس الموساد ديفيد بارنيا منح ضباطه الإذن بالمشاركة في الاحتجاجات على الحكومة الائتلافية اليمينية المتطرفة، التي يتزعمها رئيس الوزراء بنيامين نتنياهو. ,أذن,السماح أو الموافقة,arabic post
ثمَّ أذَّن، ثم أقام، فصلَّى الظُّهر، ثمَّ أقام، فصلَّى العصر، ولم يصلِّ بينهما شيئًا، ثمَّ ركب رسولُ الله صلى الله عليه وسلم، حتَّى أتى الموقف، فجعل بطنَ ناقتهِ القصواءِ إلى الصَّخَرَاتِ وجعل حبل المشاة بين يديه، واستقبل القبلة، فلم يزل واقفاً حتَّى غربت الشمس، وذهبت الصُّفْرَةُ قليلاً حتى غاب القُرْصُ.,أذن,أذن بالصلاة/ أذن للصلاة: نادى بالأذان داعيا إليها,aljazeera
"وقال وزير الدفاع الأمريكي، لويد أوستن، في البيان إن الرئيس بايدن أذن بشن غارة جوية دقيقة ردا على ذلك ""في شرق سوريا ضد المنشآت التي تستخدمها الجماعات التابعة للحرس الثوري الإيراني""",أذن,سمح أو وافق,cnn arabia
عاد صوتُ البُكاء من جديد، الدعوات تنهالُ علينا من كُل حدبٍ وصوب، هُناك صوتٌ مألوف يقرأُ الفاتحة.. من هذا؟ إنهُ ابنيَ البار قد عاد ليدعو لي، أشعُر به، روحي تكادُ تحتضنه.. ولكن ما هذا؟ إنهُ يحفُر فوق قبري! لقد دفعهُ الحُب أولًا والشوقُ ثانيًا رغبة في عِناقي.. صوتُ خريرَ الماء بدأ يتدفَقُ من الحُفرة! يا بُني أنا لا أُريدُ ماءًا.. فقط أُريدُك أن تبقى أو إن رحلت لا تألف البُعد.,بار,مكثر في الخير والإحسان,aljazeera
"افتتح رجل برازيلي يدعى ""سيارا فرانسيسكو فرنانديز""، بارا لتناول المشروبات الكحولية في مدينة ساو باولو، وأطلق عليه اسم ""بن لادن""، نظرًا لوجود تشابه كبير بين صاحب البار، وأسامة بن لادن، زعيم تنظيم القاعدة.",بار,حانة، مكان لتعاطي المشروبات الكحولية,elwatan news
والأغرب أن الإعصار إيان تساوى أيضا في سرعة الرياح عند وصول اليابسة مع سرعة الرياح لإعصار تشارلي والتي بلغت 194 كم في الساعة. أما الضغط الجوي فقد سجل قيمة أقل بمقدار 1 مللي بار فقط عن تشارلي عند وصول اليابسة في منتصف فترة ما بعد الظهر.,بار,وَحْدة لقياس الضَّغط‍‌ الجَوّيّ‌ تساوي مليون داين في السَّنتيمتر المربَّع(يونانيَّة),arabia weather
بعد 11 يوماً من البحث.. الجيش الأردني يعلن العثور على جثمان ملازم جرفته السيول بوادي عربة,بحث,التحقيق والتفتيش,arabic post
أشار البنهاوي إلى أنه قدم بحثا في مؤتمر سنوي بجامعة حلوان عن تنمية الإبداع لدى الفرد...,بحث,دراسة‏ وفحص,lexicon.alsharekh
" بعد النجاح الذي حققه ChatGPT، خلال مطلع 2023، وإطلاق شركة جوجل بوت الدردشة ""بارد Bard""، يبدو أنها ستسير على خيطٍ رفيع مع Bard، إذ يجب عليها أن تقدم للمستخدمين تجربةً تنافس دردشة متصفح بينغ Bing وChatGPT، المدعومة بالذكاء الاصطناعي، دون التضحية بتجارة محركات البحث المربحة للغاية في الوقت نفسه.",بحث,محرك بحث,arabia weather
بحث الرئيس الأميركي جو بايدن ورئيس الوزراء الإسرائيلي نفتالي بينيت -في أول اجتماع بينهما- في البيت الأبيض اليوم الجمعة عن أرضية مشتركة بشأن إيران، في الوقت الذي يسعى فيه بايدن للتعامل مع تداعيات استهداف مطار كابل.,بحث,حقق وفتش,aljazeera
إن بِرَّ الوالدين هو أقصى درجات الإحسان إليهما.,بر,اسم جامع لكل خير، ولكل طاعة، وقربة إلى الله,wikipedia
في واحدة من المتابعات النادرة يوثق ‘‘أوروبا.. الحلم‘‘ سينمائياً عمليات انتقال المهاجرين عبر شاحنات النقل الكبيرة من موانئ اليونان إلى برّ إيطاليا.,بر,أرض يابسة، ما انبسط من سطح الأرض ولم يغطه ماء، عكس بحر,aljazeera doc
