Sentence,Word,Lemma,Original PoS,Synonym_1,Synonym_2,Synonym_3
لا يظهر تحيزاً لأحد بعينه.,بعينه,عين,noun,بذاته,بنفسه,باسمه
كان قرة عينه يشاركه أسراره وأفراحه وأتراحه.,قرة عينه,عين,noun, حبيبه, عزيزه, صديقه
كان له عين في القرية,عين ,عين,noun,جاسوس, عميل, مراقب
بل تؤثرون الحياة الدنيا,تؤثرون ,آثر,verb,تفضلون, تحبون, تختارون
ربنا لا تؤاخذنا إن نسينا أو أخطأنا,تؤاخذنا ,أخذ,verb,تعاقبني, تجازيني,تقاصصني
فلما آسفونا انتقمنا منهم,آسفونا ,أسف,verb,أغضبونا, أثارونا, أغاظونا
يقوم هذا المصنع بالحياكة الآلية,الآلية, أول,adj, الميكانيكية,الأوتوماتيكية,الصناعية
يجب الالتزام بآليات فض النزاع.,بآليات , أول,noun,بالوسائل, بالطرائق, بالإمكانيات
أبصر الرجل قومه,أبصر ,بصر,verb,علم, هدى, أرشد
أبصر الصحفي الجريمة بعينه,أبصر ,بصر,verb, رأى,شهِد, راقب
ولى فلاناً سلطة القضاء,ولى,ولي,verb,وكل, فوض, أسند
ولى عصر الهواتف الثابتة ليحل محله عصر الهواتف النقالة,ولى ,ولي,verb, مضى,انتهى,انقضى
ماتت زوجته فوله,فوله,وله,noun,فحزن,فاكتأب, فكرب
لدي وله بكتابة الروايات,وله ,وله,noun,شغف, حب, عشق
انفجرت القذيفة بالقرب من محمد فتسببت له الوقر,الوقر,وقر,noun,الطرش,الصمم,-
حدث لبس في القضية وستأخذ وقتاً لحلها,لبس ,لبس,noun, شك, إشكال, اشتباه
شيّدوا له نصباً في شارع مهم وسط المدينه,نصباً ,نصب,noun,تمثالاً, تذكاراً, بناءاً
نصب خيمته في الصحراء,نصب ,نصب,verb, ثبّت, أقام,بنى
رمسه مصنوع من الرّخام,رمسه ,رمس,noun,قبره, ضريحه, مدفنه
رمس الخبر عن الجميع,رمس,رمس,verb,كتم,أخفى,حجب
اشترى أمة مطيعة,أمة ,أمو,noun, خادمة,جارية, عبدة
لم يبقَ من البلدة المدّمرة إلا الدّمن,الدّمن,دمن,noun, الآثار, البقايا,الأطلال
كانت بينهم أدمة عظيمة,أدمة ,أدم,noun, ألفة,مودة,عشرة
باتت أرضه بلقعاً,بلقعاً,بلقع,adj,خاليةً, خاويةً,خراباً
شاهد جبلاً منيفاً,منيفاً,نيف,adj, عالياً, مرتفعاً,شاهقاً
تألّب السابحون على الشاطئ لحضور الحفلة,تألّب ,ألب,verb,تجمّع, تجمهر, احتشد
عاث الجراد في الحقول,عاث ,عيث,verb, خرّب,أفسد,أتلف
للكتابة الأدبية ضروب مختلفة,ضروب ,ضرب,noun,أنواع, أشكال, أصناف
طعن خصمه فتركه مجندلاً,مجندلاً,جندل,adj,قتيلاً,طريحاً,صريعاً
زاره لفيف من الزوار,لفيف,لفف,noun, جمع,وفد, عدد
تكلم بصوت ينمّ عن الحزن,ينمّ ,نمم,verb,يدل, يعبر, يشير
بخع العبد لسيده,بخع ,بخع,verb, أطاع,تذلل, انصاع
إنها امرأة نكراء في حل الصعاب,نكراء ,نكر,adj,داهية,فطنة, عاقلة
الأنصاب والأزلام رجس من عمل الشيطان,رجس ,رجس,noun,نجس,خبث,شر
حكم عليه بالسجن المؤبد نتيجة اجتراحه الجرائم,اجتراحه ,جرح,noun,ارتكابه,اقترافه,تكراره
كان رجلاً إمّعة,إمّعة,إمع,adj,تابع, مقلد, غبي
لا تكن مهذاراً,مهذاراً,هذر,adj,ثرثار, رغاء, مكثار
ويل لكل حاكم مارد,مارد,مرد,adj, ظالم, متسلط, قاهر
الإنسان في طور الحضارة بائس,طور ,طور ,noun,فترة, مرحلة, مدة
لفظ الحوت يونس,لفظ ,لفظ,verb, رمى,أخرج, قذف
أبرم ضيفه بكلامه المكرر,أبرم ,برم,verb, ضايق, أزعج,أضجر
أبرم الحبل بإحكام,أبرم ,برم,verb,لف, شدّ,ربط
أعاد الله عصا موسى سيرتها الأولى,سيرتها ,سير,noun,حالتها, طبيعتها, أصلها
