Sentence,Word,Lemma,Original PoS,Synonym_1,Synonym_2,Synonym_3
كل ساعة  تجرى سبع عمليات جراحية في المستشفيات الحكومية بالضفة الغربية,عمليات ,عمل,noun, تدخلات , اعمال,اجراءات
تعتبر المختبرات و بنوك الدم جزء أساسي وحيوي وداعم في خدمات وزارة الصحة,بنوك ,بنك,noun,اقسام,مخازن, مصارف
العضلات المركزية هي العضلات التي تتحكم في أطراف الجسم,المركزية ,ركز,adj,الاساسية, الهامة,القيادية
 تصيب  فيروس كورونا الجهاز التنفسي,فيروس ,فيروس,noun,مرض, ميكروب,عدوى
هناك اختبارات عدة تساعد في تشخيص الإصابة بتضخم القلب,بتضخم ,ضخم,noun,بتورم,بمرض,بانتفاخ 
مسؤولية المريض المالية هي دفع الحساب الخاص به,الحساب ,حسب,noun,المبلغ,الفاتورة,التكلفة
يوجد نقص كبير في عدد كريات الدم الحمراء,نقص ,نقص,noun, انخفاض,نقصان, فقر
يجب تطابق نوع الدم المتبرع مع المصاب عند عملية نقل الدم ,تطابق ,طبق,noun,توافق, تجانس ,تشابه 
 يحمل المريض بطاقة طبية تحتوي تفاصيل الطبية,بطاقة ,بطق,noun, هوية ,وثيقة,شهادة 
الرعاية المتخصصة أكثر تكلفة من الرعاية الأولية,تكلفة ,كلف,noun,ثمن ,رسوم, انفاق
الغذاء المتوازن والمتنوع له فائدة في تعزز صحة الجسم و الوقاية من الأمراض,فائدة ,فيد,noun,منفعة,أهمية,خير
يعتبر التأمين الصحي أمرا ضروريا  للحفاظ على حقوق المرضى وتوفير الرعاية اللازمة,التأمين ,أمن,noun,الضمان,النظام,الاشتراك
 يتم إزالة هامش من النسيج في العملية  الجراحية.,هامش ,همش,noun,جزء,قسم,طرف
تحديد حجم الورم في حالة السرطان يعتبر أمرا حاسما للتشخيص وتحديد خطة العلاج,حجم ,حجم,noun,كمية,مساحة,مقدار
 إجراءات الحجر الصحي والتباعد الاجتماعي من أهم الإجراءات التحوطية في جائحة كورونا.,التحوطية ,حوط,noun,الوقائية,الاحترازية,الحمائية
يستخدم السند الطبي لتثبيت العظام المكسورة في  الإصابات الرياضية,السند ,سند,noun,الدعامة,الركيزة,القاعدة
يقدم الأطباء اكثر من خيار لعلاج امراض الاعصاب,خيار ,خير,noun,بديل,حل,اجراء
يزيد انتشار الأمراض المعدية بسرعة عند عدم اتباع التوجيهات الطبية الوقائية,انتشار ,نشر,noun,تفشي,انتقال, توسع
ان دراسة أصل الأمراض وآلياتها من الأمور الأساسية في مجال الطب,أصل ,أصل,noun, جذر,أساس,مصدر
يستخدم غطاء الوجه الواقي كإجراء وقائي لحماية من العدوى,غطاء ,غطي,noun, قناع,حجاب,غلاف
سيولة الدم من المؤشرات الحيوية المهمة لتشخيص الحالات الطبية ,سيولة ,سيل,noun,تميع , انسياب , تدفق
يقدم الأطباء تقييم طبي دقيق لحالة المرضى قبل وصف العلاج المناسب,تقييم ,قيم,noun,تشخيص,تقرير,تقدير 
تعتبر سلامة المرضى أولوية قصوى في مجال الرعاية الصحية,سلامة ,سلم,noun,صحة,حياة,عناية
ضمان الجودة والسلامة يعتبر أمرا مهما في القطاع الطبي,ضمان ,ضمن,noun,تامين,توفير,تحقيق
يساهم تبرع الدم  في إنقاذ حياة الآخرين,تبرع ,برع,noun, اعطاء, منح,مساعدة
