Sentence,Word,Lemma,Original PoS,Synonym_1,Synonym_2,Synonym_3
تعليمات متطلبات كفاية رأس المال للمصارف الإسلامية,رأس ,رَأس,noun,اساس,الثروة,-
يعتبر جهاز الخدمة الذاتية من أحدث الاجهزة الرقمية,الاجهزة ,جهز ,noun,الالات, الأنظمة,الأدوات
للبنوك المركزية دورها في تحقيق الاهداف الاولية للسياسة النقدية,المركزية ,ركز,noun, الرئيسية,الأساسية,المسيطرة
فيروس جديد يسرق البيانات المصرفية ويمنع الاتصال بالبنوك,فيروس ,فيروس,noun, برنامج ,برمجي,-
رقم خدمة عملاء بنك فلسطين هو الخط الساخن للإستعلام والشكاوى,عملاء ,عمل,noun, زبون, مودع , مستثمر
التضخم يحدث عندما تؤدي التغييرات في الاقتصاد إلى ارتفاع الأسعار على نطاق واسع، مما يقلل من القوة الشرائية للمستهلكين,التضخم ,ضخم,noun,نمو, ارتفاع, زيادة 
 تحويل الرصيد هي  تحويل الأموال  من شخص أو مؤسسة  إلى آخر,تحويل ,حول,noun,نقل,  تبديل ,  تغيير
الاقتصاد العمود الفقري للحكومات الحديثة,العمود الفقري,عمد,noun,أساس , محور,مهم 
تم التوقيع على اتفاقيات مفصلية بالقطاع المصرفي,مفصلية ,فصل,adj, محورية,أساسية,هامة
يوجد نقص حاد بعدد الايادي العاملة بالبنك,نقص ,نقص,noun,انخفاض,عجز, قصور
يجب تطابق توقيع العميل عند سحبة للمال ,تطابق ,طبق,noun,تماثل ,توافق , تجانس 
 استخدام بطاقة الائتمان للقيام بعمليات الدفع الإلكترونية,بطاقة ,بطق,noun,فيزا , كرت ,شهادة
يجب الاخذ بعين الاعتبار تكلفة الفوائد المرتبطة بالقروض ,تكلفة ,كلف,noun,قيمة,رسوم, فاتورة
هناك حاجة ملحة لاستشعار الخطر في قطاع المصارف وتحديد النقاط المستهدفة للإحتيال المالي,الخطر ,خطر,noun, التهديد, المشكلة,الازمة
تحليل المخاطر هو أمر ضروري لتحقيق الاستدامة وتحقيق الفائدة  طويلة الأمد,الفائدة  ,فيد,noun,المنفعة,الربح,الخير
ان حساب الهامش مهم جدا في المجال المصرفي، حيث يمثل الفروقات بين سعر الشراء وسعر البيع للأصول المالية,الهامش ,همش,noun,الربح,الفائدة,-
يعد حساب الحجم المالي للمصرف من الجوانب الأساسية في تقييم الأداء المالي.,الحجم ,حجم,noun, الاجمالي,القيمة,الأصول
ان السند البنكي من أهم الوثائق في المجال المصرفي,السند ,سند,noun,الوثيقة,الاثبات, الشهادة
يمكنك منح العملاء الخيارات المصرفية المتعددة لتلبية احتياجاتهم المالية,الخيارات ,خير,adj, الخدمات,الحلول, الوسائل
